Test Number,Days Survived,Max Vegetation
1,145,1263
2,63,1529
3,127,2312
4,116,1451
5,74,1159
6,171,873
7,108,642
8,56,419
9,912,2152
10,182,836
11,126,2658
12,59,1492
13,374,1398
14,155,1073
15,46,301
16,175,1224
17,41,260
18,104,3092
19,149,1428
20,67,962
21,190,1596
22,116,1046
23,69,907
24,55,605
25,40,453
26,265,1541
27,195,720
28,409,2388
29,54,417
30,270,1873
31,183,829
32,231,1586
33,42,473
34,39,218
35,252,1462
36,51,904
37,103,1858
38,49,947
39,151,1728
40,35,391
41,209,625
42,39,301
43,274,1054
44,57,488
45,30,259
46,44,1545
47,126,1111
48,94,1433
49,151,1024
50,134,957
51,377,1219
52,154,1868
53,59,1184
54,58,218
55,432,1607
56,98,537
57,231,1562
58,46,959
59,346,2521
60,168,1718
61,102,1198
62,117,1279
63,166,1351
64,275,490
65,103,1914
66,231,1562
67,183,962
68,85,1716
69,122,938
70,56,1331
71,180,1229
72,169,1201
73,53,940
74,52,729
75,51,487
76,133,1213
77,176,1262
78,238,1286
79,80,675
80,75,784
81,153,1872
82,202,1152
83,171,2124
84,94,2388
85,141,2195
86,53,609
87,63,1855
88,124,905
89,102,644
90,91,546
91,69,1188
92,239,1028
93,484,1560
94,75,882
95,105,932
96,86,1346
97,86,1409
98,107,1767
99,378,2139
100,28,218
