Test Number,Days Survived,Max Vegetation
1,47,404
2,72,760
3,62,2153
4,149,2598
5,62,963
6,75,812
7,379,1937
8,108,1880
9,87,289
10,253,1095
11,248,1136
12,714,2018
13,128,1231
14,146,1791
15,307,762
16,56,349
17,307,1890
18,69,765
19,54,640
20,245,2234
21,113,593
22,51,473
23,93,1823
24,185,1600
25,44,578
26,382,1199
27,118,1436
28,47,716
29,392,2313
30,259,1994
31,198,1464
32,119,1283
33,109,1041
34,223,1676
35,530,2722
36,276,1609
37,85,578
38,150,1158
39,60,1718
40,228,2495
41,55,325
42,40,670
43,194,1196
44,78,1275
45,103,598
46,104,1548
47,60,1220
48,173,1863
49,293,1159
50,65,1227
51,279,1673
52,86,1201
53,498,1503
54,169,2293
55,201,1069
56,96,1489
57,252,1161
58,78,1547
59,229,1486
60,57,1033
61,119,1023
62,203,1759
63,43,546
64,660,2039
65,375,2754
66,59,414
67,297,891
68,241,2285
69,204,1483
70,57,377
71,414,1454
72,139,830
73,179,1527
74,156,2312
75,122,1185
76,288,757
77,251,1842
78,71,248
79,177,2000
80,76,860
81,414,1752
82,213,1370
83,260,1340
84,96,1788
85,341,1947
86,70,1563
87,58,961
88,187,1853
89,158,637
90,199,1054
91,69,967
92,62,854
93,147,887
94,158,2262
95,60,1400
96,419,2514
97,45,583
98,48,316
99,59,801
100,163,2196
