Test Number,Days Survived,Max Vegetation
1,29,218
2,161,1934
3,121,1856
4,86,720
5,133,1321
6,173,1992
7,239,1483
8,86,1494
9,277,1604
10,45,218
11,226,1566
12,134,1171
13,158,1446
14,312,1397
15,83,609
16,95,819
17,418,2167
18,80,829
19,54,913
20,245,1520
21,176,1687
22,638,2221
23,153,2078
24,324,1562
25,163,1630
26,223,1509
27,135,1842
28,71,3148
29,198,1283
30,36,391
31,44,362
32,32,218
33,92,892
34,90,1759
35,71,1545
36,105,1713
37,32,218
38,35,218
39,45,218
40,290,1063
41,176,615
42,135,863
43,264,1578
44,61,907
45,75,702
46,83,544
47,203,1245
48,274,1427
49,84,1463
50,65,1564
